symbol,turnover24h,age_days,trades,total_return,average_return,median_return,win_rate,max_drawdown,train_return,validation_trades,validation_return,validation_median,validation_win_rate,stage1_score
AUCTIONUSDT,101168.0817,1103.315409849537,15,0.007556615738453454,0.0005218961077542908,-0.0006990671080350222,0.3333333333333333,-0.018282447958238857,0.00828454396504652,14,-0.0007219472230830526,-0.001000090615143722,0.2857142857142857,0.6281440162271805
BELUSDT,221674.6077,1509.3395417939814,14,0.04859969211442472,0.0035861581458809244,-0.0058422706187843945,0.35714285714285715,-0.033350739892270664,-0.004495400688757756,12,0.05333485434413565,-0.0058422706187843945,0.3333333333333333,0.6274847870182556
XTZUSDT,1220495.3316,3137.58936818287,20,0.02056994029296577,0.0010977504151907015,-0.005855404731534008,0.35,-0.024628355007597302,0.02078634556522929,14,-0.00021199859618370454,-0.005855404731534008,0.2857142857142857,0.6273326572008113
REZUSDT,115717.0178,818.2606992013889,19,0.07386574580851235,0.003946892858430979,-0.006029006363019839,0.3684210526315789,-0.04815901407054346,0.111866187010905,11,-0.03417717135957821,-0.006040370423717078,0.18181818181818182,0.6265212981744421
IOUSDT,387701.3305,784.013673738426,25,0.08455416909115532,0.0034550597070489796,-0.006035184563874751,0.28,-0.049961503255432915,0.0,25,0.08455416909115532,-0.006035184563874751,0.28,0.6234279918864097
BOBAUSDT,73494.4674,1581.2588010532406,13,0.0565061497873951,0.004610758418812823,-0.005201676211507244,0.3076923076923077,-0.02403185349465209,-0.015991481938134045,9,0.07367581722597571,-0.005311342592592582,0.4444444444444444,0.6219574036511155
TUTUSDT,3940707.0951,503.2051552199074,5,0.02120539082335715,0.004512378859440313,-0.0071261658221777316,0.4,-0.03168564126553908,0.0,5,0.02120539082335715,-0.0071261658221777316,0.4,0.6213995943204867
WAVESUSDT,265138.3651,1672.2742524421296,23,0.010075998793640295,0.0005033324519695167,-0.003874074941048854,0.34782608695652173,-0.038023769326069656,-0.03247806558058619,19,0.043982531930671254,-0.003630828241984684,0.42105263157894735,0.6212474645030426
QUSDT,166397.7468,326.1405024421296,9,0.14296722149313768,0.016736905902813612,-0.009436933745239573,0.3333333333333333,-0.03480782870878141,-0.04536567255116264,5,0.19728275909331772,0.0036244618083239874,0.6,0.6208417849898581
SUSDT,987932.5075,566.2231644791667,28,0.06832550138222038,0.00276144396251101,-0.005511502052637173,0.2857142857142857,-0.07702769512709873,-0.038200869207632326,25,0.11075739952280128,-0.005449329231207111,0.32,0.6171399594320487
SAHARAUSDT,1422331.2943,410.1230140162037,31,0.01205526535912127,0.0005152257484178303,-0.004707032127611809,0.3548387096774194,-0.05914372066986706,-0.024140725980587585,24,0.03709140477870676,-0.004649923249434639,0.375,0.6148073022312374
IOTXUSDT,123457.3578,1726.5893681828704,23,0.05762323149785886,0.002544716984574393,-0.005323389537397304,0.34782608695652173,-0.049841799956993005,0.07430721290872078,14,-0.015529991058785608,-0.00566482367983756,0.21428571428571427,0.6146551724137931
ACHUSDT,439794.427,1579.250745497685,14,0.010577771377477063,0.0008265109758474688,-0.005288362249765698,0.35714285714285715,-0.027286572452147273,0.016955909871936514,11,-0.006271794511979123,-0.005099996941108852,0.36363636363636365,0.6143002028397566
TRBUSDT,314223.5196,1516.4846922569445,25,0.03945487850550822,0.0016682147139702153,-0.004252455532210874,0.32,-0.07542302737612128,0.0975783067582785,22,-0.05295606508882156,-0.004826182828349289,0.22727272727272727,0.6108012170385394
SPKUSDT,308344.672,413.20549086805556,19,0.046912775578638044,0.0025785619233967302,-0.005253469053448478,0.2631578947368421,-0.0352288103037679,0.015382322298126638,16,0.031052789267739023,-0.005467448747452862,0.25,0.6102434077079109
ALLOUSDT,4006749.0345,263.06691447916666,17,0.18195853730661127,0.01190151291364639,-0.012546087453285448,0.29411764705882354,-0.08534256733055812,0.26390626052837196,13,-0.06483686787618481,-0.012546087453285448,0.23076923076923078,0.60552738336714
UAIUSDT,23519788.7025,260.1646691087963,16,0.11654189519269931,0.00827789882825608,-0.009693011766833015,0.3125,-0.10477089050217814,0.0344671135416903,12,0.07934015550287588,-0.009693011766833015,0.25,0.6032454361054768
BTCUSDT,3898411706.2682,2333.58936818287,18,-0.0012977611872284633,-2.879555061689858e-05,-0.0037186466371225127,0.2222222222222222,-0.03610089135805328,-0.019089001916608228,13,0.018137466869207808,-0.003327150119892374,0.23076923076923078,0.602789046653144
MMTUSDT,6785435.8028,281.1988242013889,9,-0.00958665350207677,-0.0010191315326271893,-0.006244862397629779,0.4444444444444444,-0.028062944497143416,0.013756142163734664,6,-0.0230260461021613,-0.007496495654387203,0.3333333333333333,0.5984787018255578
WUSDT,936562.8377,853.0620070717592,33,0.08182291620770066,0.0027744052240625478,-0.007018899016747348,0.3333333333333333,-0.09574697731742066,-0.015236332434929722,27,0.09856095613541438,-0.007018899016747348,0.3333333333333333,0.5984279918864099
TWTUSDT,368159.4674,1356.3224584606482,13,0.005286908325245587,0.0004566062515246947,-0.003864208398938306,0.3076923076923077,-0.03793086986781957,0.015032608695652261,12,-0.00960136678064949,-0.004317905659012355,0.25,0.5983265720081136
BLESSUSDT,69138603.0684,314.1691714236111,10,0.0427437627031626,0.004545942970355654,-0.012233200938479738,0.4,-0.052052659812735325,-0.03807970082373169,8,0.08402303558424395,0.004303784455037207,0.5,0.597870182555781
TURTLEUSDT,92010.7069,285.9616251273148,11,0.020329666564115056,0.0019417387318777916,-0.003175614554347005,0.2727272727272727,-0.028346892318102168,0.032991791759741984,9,-0.012257721016404433,-0.003175614554347005,0.2222222222222222,0.5978194726166328
IOSTUSDT,113429.1559,1757.5893681828704,30,0.008529425490030995,0.0003734301882206175,-0.004387659390292341,0.4,-0.04720998287854028,0.05214361556338032,26,-0.04145269659788431,-0.004387659390292341,0.38461538461538464,0.5963488843813387
1000BONKUSDT,5659745.8876,1306.4986390162037,29,0.09064227543136294,0.0033888136021952785,-0.008628576531210186,0.3103448275862069,-0.07773543020470974,0.009747589091056552,25,0.08011377022759247,-0.008745423707669397,0.28,0.5931034482758621
ZETAUSDT,204124.3914,915.4188936458334,18,0.04705349963638561,0.0027153108168181763,-0.00516096529926302,0.3333333333333333,-0.07040708638594151,0.09584259242103066,11,-0.044521989857006616,-0.00581973327945151,0.18181818181818182,0.591734279918864
ASTRUSDT,87987.4071,1583.4305487384258,16,0.003391646017421035,0.0002662930518964534,-0.004550566957311929,0.375,-0.02803467622182443,-0.012428669542371096,10,0.016019415582326557,0.0001334961866278914,0.5,0.5904158215010142
CLOUSDT,1228887.599,291.1016714236111,16,0.10041032697827879,0.0069297407231507235,-0.013142271016806761,0.375,-0.10552251718410421,0.0006850086883263273,15,0.09965705234324429,-0.014104116638177233,0.3333333333333333,0.5897058823529412
SSVUSDT,205888.3513,1252.2783728125,8,-0.0018395879925185987,-0.0001604544028807744,-0.004635554311152978,0.375,-0.03206154339609657,-0.012400893468572982,5,0.010693919634199744,-0.00487917765332102,0.4,0.5884888438133874
BERAUSDT,1973044.9112,544.0362663310185,24,0.00923801970768423,0.0004937791234024269,-0.006169233544075613,0.375,-0.043129324744812125,-0.03681129336825528,18,0.047809232769113974,-0.002747862874312389,0.4444444444444444,0.5879817444219068
1INCHUSDT,369329.9081,1702.5893681828704,16,0.020378506516971706,0.0013342696775319187,-0.004579068837578248,0.25,-0.04014800573910393,0.013210272475379536,12,0.00707477434479542,-0.004579068837578248,0.25,0.5842799188640974
