symbol,turnover24h,age_days,exit_method,exit_score,exit_selection_note,trades,total_return,average_return,median_return,win_rate,max_drawdown,train_return,validation_trades,validation_return,validation_expectancy,validation_median,validation_win_rate,validation_profit_factor,validation_sell_early_median_6h,eligibility_tier,eligible,score
ORCAUSDT,371384.6575,855.198986238426,structure_mfe50_act125,1.0,best_daily_stop_exit_validation_score,48,0.17719262248408385,0.0035594274492810446,0.002736210739613388,0.625,-0.030759322411543555,0.17676852336298698,9,0.00036039298526180374,6.032023243044853e-05,-0.0038885480045770518,0.4444444444444444,1.0228444189565495,0.005473360129992333,relaxed,True,0.32061538461538464
CKBUSDT,161100.5321,1631.381636701389,structure_atr_trail_1.5,0.8300000000000001,best_daily_stop_exit_validation_score,54,0.13245138364316755,0.002408509323406782,-0.0021239489979349426,0.4074074074074074,-0.048547092207049336,0.12309273027636136,17,0.008332930233199365,0.0005377252945013699,-0.002973227490869589,0.35294117647058826,1.1502065557869454,0.007161316436778087,relaxed,True,0.3059230769230769
ATHUSDT,211516.2684,782.2131644791667,structure_atr_trail_1.5,1.0,best_daily_stop_exit_validation_score,53,0.1603840893027093,0.0029124658798153633,-0.001567200350632957,0.4528301886792453,-0.04112552362621613,0.1595495484120013,14,0.0007197112808596806,0.00014227283515633982,-0.0034214171390563033,0.42857142857142855,1.0305277599423843,0.010115864245847206,relaxed,True,0.2838076923076923
1INCHUSDT,369329.9081,1702.5893681828704,structure_atr_trail_1.5,0.86,best_daily_stop_exit_validation_score,54,0.05291104571731364,0.0010381114948600707,-0.001908930464684099,0.3888888888888889,-0.05200475654322578,0.04297375314969143,12,0.00952784529583095,0.000812087563990279,-0.0018012058224118324,0.4166666666666667,1.345507139060136,0.006087230087641893,relaxed,True,0.2742692307692309
ORDIUSDT,3409281.0117,1170.2906413310186,structure_fixed6,,fallback_no_strategy_passed_robust_filter,62,0.044136629517691706,0.0008741763103659272,-0.006881507632423344,0.3548387096774194,-0.14463772500546845,0.027155068397548998,11,0.01653261678067297,0.0016669165478110876,-0.008037369596255561,0.45454545454545453,1.2473807991862118,0.019308357348703176,relaxed,True,0.2696538461538462
AUCTIONUSDT,101168.0817,1103.315409849537,structure_rolling_high,1.0,best_daily_stop_exit_validation_score,61,0.07224700314586308,0.0012119494006079484,-0.003930882524328493,0.4098360655737705,-0.0887350640131741,0.060302888186703374,14,0.011264814132107226,0.000845189892034217,-0.0019176840196856717,0.5,1.2692213533827021,0.002428691806540595,relaxed,True,0.2606153846153846
SAPIENUSDT,114770.7171,348.8674005902778,structure_mfe40_act100,1.0,best_daily_stop_exit_validation_score,32,0.11260510169578875,0.0034460250723533717,0.004336193958253577,0.625,-0.03956488068419017,0.11146998919460405,10,0.001021271390338807,0.00014963239486678369,-0.0010965910888317545,0.5,1.0381710312164398,0.009540184866904777,relaxed,True,0.26042307692307687
FOGOUSDT,269465.3773,205.28764364583333,structure_rolling_high,0.7900000000000003,best_daily_stop_exit_validation_score,53,0.10833640954337409,0.002082645357381594,-0.005481528686914649,0.41509433962264153,-0.0837629716071393,0.09798198655367041,19,0.009430412444382918,0.0005961977663121339,-0.00539033548785428,0.3684210526315789,1.1043680019024367,0.013099524285186348,relaxed,True,0.2570384615384615
XVSUSDT,37308.9155,1061.267296423611,structure_fixed6,,fallback_no_strategy_passed_robust_filter,51,0.08695587292496665,0.0017733572468714561,-0.005144742486202113,0.3333333333333333,-0.05780149219376274,0.08150338144482228,4,0.005041585235600721,0.0013222113288925703,-0.00522991770855885,0.25,1.335657099099403,0.011063465044388376,relaxed,True,0.25317307692307695
ANKRUSDT,116737.5816,1714.5893681828704,structure_atr_trail_1.5,0.915,best_daily_stop_exit_validation_score,54,0.023782768872317783,0.0005076346244471708,-0.0018422904150665045,0.3888888888888889,-0.06821220730526822,0.004039483364977503,21,0.01966385369743784,0.0009568877520258746,-1.730317160586383e-05,0.47619047619047616,1.3850444506542867,0.007832869712415702,relaxed,True,0.24480769230769228
